Sample_ID	Treatment	Week	left_primer	right_primer	DNA_Concentration	Hygiene_Score	Hive	Replicate
H5_T2_R3	veh	2	Golay_L2	Golay_R5	51.53	0.6522	H5	R3
H5_T3_R1	veh	3	Golay_L16	Golay_R12	40.54	0.7868	H5	R1
H5_T3_R2	veh	3	Golay_L20	Golay_R24	40.52	0.7868	H5	R2
H5_T3_R3	veh	3	Golay_L15	Golay_R7	48.23	0.7868	H5	R3
H6_T1_R1	lac	1	Golay_L11	Golay_R19	48.94	0.3514	H6	R1
H6_T1_R2	lac	1	Golay_L7	Golay_R4	44.24	0.3514	H6	R2
H6_T1_R3	lac	1	Golay_L18	Golay_R16	48.26	0.3514	H6	R3
H6_T2_R1	lac	2	Golay_L23	Golay_R9	46.80	0.398	H6	R1
H6_T2_R2	lac	2	Golay_L11	Golay_R17	53.60	0.398	H6	R2
H6_T2_R3	lac	2	Golay_L18	Golay_R17	41.33	0.398	H6	R3
H6_T3_R1	lac	3	Golay_L9	Golay_R10	43.54	0.4425	H6	R1
H6_T3_R2	lac	3	Golay_L17	Golay_R15	44.86	0.4425	H6	R2
H6_T3_R3	lac	3	Golay_L11	Golay_R18	52.09	0.4425	H6	R3
H7_T1_R1	bif	1	Golay_L9	Golay_R11	49.20	0.6382	H7	R1
H7_T1_R2	bif	1	Golay_L2	Golay_R7	51.48	0.6382	H7	R2
H7_T1_R3	bif	1	Golay_L24	Golay_R10	47.36	0.6382	H7	R3
H7_T2_R1	bif	2	Golay_L23	Golay_R8	42.22	0.6913	H7	R1
H7_T2_R2	bif	2	Golay_L10	Golay_R14	58.59	0.6913	H7	R2
H7_T2_R3	bif	2	Golay_L8	Golay_R8	45.41	0.6913	H7	R3
H7_T3_R1	bif	3	Golay_L11	Golay_R20	48.83	0.7925	H7	R1
H7_T3_R2	bif	3	Golay_L14	Golay_R5	52.38	0.7925	H7	R2
H7_T3_R3	bif	3	Golay_L22	Golay_R6	42.10	0.7925	H7	R3
H8_T1_R1	veh	1	Golay_L1	Golay_R4	47.77	0.5421	H8	R1
H8_T1_R2	veh	1	Golay_L7	Golay_R1	46.75	0.5421	H8	R2
H8_T1_R3	veh	1	Golay_L13	Golay_R2	56.51	0.5421	H8	R3
H8_T2_R1	veh	2	Golay_L12	Golay_R24	42.56	0.1757	H8	R1
H8_T2_R2	veh	2	Golay_L3	Golay_R9	47.34	0.1757	H8	R2
H8_T2_R3	veh	2	Golay_L21	Golay_R3	40.03	0.1757	H8	R3
H8_T3_R1	veh	3	Golay_L14	Golay_R4	36.93	0.6579	H8	R1
H8_T3_R2	veh	3	Golay_L15	Golay_R9	44.11	0.6579	H8	R2
H8_T3_R3	veh	3	Golay_L10	Golay_R16	52.92	0.6579	H8	R3
H9_T1_R1	lac	1	Golay_L17	Golay_R14	45.82	0.5792	H9	R1
H9_T1_R2	lac	1	Golay_L16	Golay_R11	43.27	0.5792	H9	R2
H9_T1_R3	lac	1	Golay_L15	Golay_R8	47.52	0.5792	H9	R3
H9_T2_R1	lac	2	Golay_L9	Golay_R9	48.91	0.6719	H9	R1
H9_T2_R2	lac	2	Golay_L20	Golay_R22	41.29	0.6719	H9	R2
H9_T2_R3	lac	2	Golay_L10	Golay_R15	49.80	0.6719	H9	R3
H9_T3_R1	lac	3	Golay_L22	Golay_R5	37.53	0.488	H9	R1
H9_T3_R2	lac	3	Golay_L8	Golay_R6	48.53	0.488	H9	R2
H9_T3_R3	lac	3	Golay_L5	Golay_R19	58.72	0.488	H9	R3
PCR_NEG	NA	NA	Golay_L12	Golay_R22	16.10	NA	NA	NA
SPIKE1	NA	NA	Golay_L13	Golay_R1	56.4	NA	NA	NA
